method,epoch,down_successes,up_successes,total_successes,rollouts,selected
ot-sim2real,100,5,1,6,20,false
ot-sim2real,200,8,2,10,20,false
ot-sim2real,300,6,2,8,20,false
ot-sim2real,400,7,3,10,20,true
ot-sim2real,500,6,3,9,20,false
MMD,100,2,2,4,20,false
MMD,200,2,3,5,20,false
MMD,300,4,2,6,20,false
MMD,400,2,0,2,20,false
MMD,500,5,2,7,20,true
cotrain,100,6,6,12,20,false
cotrain,200,5,7,12,20,true
cotrain,300,6,5,11,20,false
cotrain,400,6,5,11,20,false
cotrain,500,5,3,8,20,false
source_only,100,0,0,0,20,false
source_only,200,0,0,0,20,false
source_only,300,0,0,0,20,false
source_only,400,0,0,0,20,false
source_only,500,0,0,0,20,true
target_only,100,3,0,3,20,false
target_only,200,2,0,2,20,false
target_only,300,3,0,3,20,true
target_only,400,2,0,2,20,false
target_only,500,2,0,2,20,false
